Activity Name,Activity Type,Park ID,Park Name,Timings,Height Restrictions,URL,Location Lat,Location Lng
Viva Gaia Street Band!,Entertainment,80007823,Disney's Animal Kingdom Theme Park,"10:45:00 to 10:45:00, 11:45:00 to 11:45:00, 12:45:00 to 12:45:00, 14:00:00 to 14:00:00, 15:00:00 to 15:00:00, 16:00:00 to 16:00:00, 17:00:00 to 17:00:00",,https://disneyworld.disney.go.com/entertainment/animal-kingdom/viva-gaia-street-band/,28.357122,-81.589667
House of Blues,Entertainment,10460,Disney Springs,,,https://disneyworld.disney.go.com/entertainment/disney-springs/house-of-blues-shows/,28.370796,-81.521783
Meet Mirabel at Fairytale Garden – New!,Entertainment,80007944,Magic Kingdom Park,"09:00:00 to 09:00:00, 09:45:00 to 09:45:00, 10:30:00 to 10:30:00, 11:15:00 to 11:15:00, 12:00:00 to 12:00:00, 14:00:00 to 14:00:00, 14:45:00 to 14:45:00, 15:15:00 to 15:15:00, 15:45:00 to 15:45:00",,https://disneyworld.disney.go.com/entertainment/magic-kingdom/character-meet-mirabel/,28.4195985,-81.580264
Casey's Corner Pianist,Entertainment,80007944,Magic Kingdom Park,"10:50:00 to 10:50:00, 11:35:00 to 11:35:00, 13:35:00 to 13:35:00, 14:35:00 to 14:35:00, 15:40:00 to 15:40:00, 16:40:00 to 16:40:00, 17:30:00 to 17:30:00",,https://disneyworld.disney.go.com/entertainment/magic-kingdom/caseys-corner-pianist/,28.418112,-81.581421
Star Wars Launch Bay: Meet Chewbacca,Entertainment,80007998,Disney's Hollywood Studios,10:00:00 to 18:00:00,,https://disneyworld.disney.go.com/entertainment/hollywood-studios/character-meet-chewbacca-star-wars-launch-bay/,28.3580437948549,-81.5609857809673
Harambe Village Acrobats,Entertainment,80007823,Disney's Animal Kingdom Theme Park,"10:45:00 to 10:45:00, 11:45:00 to 11:45:00, 12:45:00 to 12:45:00, 13:45:00 to 13:45:00, 14:45:00 to 14:45:00, 15:45:00 to 15:45:00",,https://disneyworld.disney.go.com/entertainment/animal-kingdom/harambe-village-acrobats/,28.3591486373062,-81.5915742811563
Happily Ever After,Entertainment,80007944,Magic Kingdom Park,20:45:00 to 20:45:00,,https://disneyworld.disney.go.com/entertainment/magic-kingdom/happily-ever-after-fireworks/,28.419169,-81.581204
Meet Favorite Disney Pals at Adventurers Outpost,Entertainment,80007823,Disney's Animal Kingdom Theme Park,08:00:00 to 18:00:00,,https://disneyworld.disney.go.com/entertainment/animal-kingdom/character-meet-disney-pals-adventurers-outpost/,28.357972,-81.589796
The Dapper Dans,Entertainment,80007944,Magic Kingdom Park,"09:00:00 to 09:00:00, 09:50:00 to 09:50:00, 10:40:00 to 10:40:00, 11:25:00 to 11:25:00, 13:15:00 to 13:15:00, 14:00:00 to 14:00:00, 15:40:00 to 15:40:00",,https://disneyworld.disney.go.com/entertainment/magic-kingdom/dapper-dans/,28.4174102,-81.581217
AMC® Disney Springs 24 Dine-In Theatres,Entertainment,10460,Disney Springs,10:00:00 to 23:00:00,,https://disneyworld.disney.go.com/entertainment/disney-springs/amc-disney-springs-24/,28.37011,-81.520953
Voices of Liberty,Entertainment,80007838,EPCOT,"11:15:00 to 11:15:00, 12:00:00 to 12:00:00, 12:45:00 to 12:45:00, 13:30:00 to 13:30:00, 14:15:00 to 14:15:00, 15:00:00 to 15:00:00, 15:45:00 to 15:45:00",,https://disneyworld.disney.go.com/entertainment/epcot/voices-of-liberty/,28.367595,-81.549387
Meet Anna and Elsa at Royal Sommerhus,Entertainment,80007838,EPCOT,09:15:00 to 18:30:00,,https://disneyworld.disney.go.com/entertainment/epcot/character-meet-anna-elsa-royal-sommerhus/,28.37097,-81.547134
Electrical Water Pageant,Entertainment,80010392,The Campsites at Disney's Fort Wilderness Resort,20:25:00 to 22:30:00,,https://disneyworld.disney.go.com/entertainment/magic-kingdom/electrical-water-pageant/,28.409698,-81.571398
Rose & Crown Pub Musician,Entertainment,80007838,EPCOT,"13:30:00 to 13:30:00, 14:30:00 to 14:30:00, 16:00:00 to 16:00:00, 17:00:00 to 17:00:00, 18:00:00 to 18:00:00, 19:00:00 to 19:00:00",,https://disneyworld.disney.go.com/entertainment/epcot/rose-crown-pub-music/,28.370467,-81.551677
Matsuriza,Entertainment,80007838,EPCOT,"11:00:00 to 11:00:00, 12:00:00 to 12:00:00, 13:00:00 to 13:00:00, 14:00:00 to 14:00:00, 15:00:00 to 15:00:00, 16:00:00 to 16:00:00, 16:45:00 to 16:45:00",,https://disneyworld.disney.go.com/entertainment/epcot/matsuriza/,28.36786,-81.550389
Luminous The Symphony of Us – New!,Entertainment,80007838,EPCOT,21:00:00 to 21:00:00,,https://disneyworld.disney.go.com/entertainment/epcot/luminous-the-symphony-us/,28.370146,-81.549394
